,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
37,"Town of Mannford, Oklahoma (Utility Company)",11578,Residential Electric Rate,539f6a34ec4f024411ec8cd7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8cd7,Residential,,ISU Documentation Rate Binder Ted #9,,,,,,
38,Slinger Utilities,17324,Residential- Single-Phase- Time-of-Day,539f6a34ec4f024411ec8cdb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8cdb,Residential,"Service under this rate is optional for customers that qualify for service on the Residential, Rg-1, service rate. Once an optional customer begins service on this rate schedule, the customer shall remain on the rate for a minimum of one year. Any customer choosing to be served on this rate schedule waives all rights to billing adjustments arising from a claim that the bill for service would be less on another rate schedule than under this rate schedule.


This rate is subject to the following Adjustments and Riders:
*Power Cost Adjustment Clause, which includes a charge per all kWh that varies monthly.
*Commitment to Community Program Rider, which asses a monthly fee of 1.20% of the total electric bill.
*Renewable Energy Rider, this rider is voluntary 
*Parallel Generation (20 kW or less)-Net Energy Billing
For more information see ""Source"".",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=5510,,,,,,Single Phase
40,Waupun Utilities,20213,Rg-2 Residential Optional Time-of-Day Single Phase Service,55ba6c605457a3b94c995e96,,kW,,http://en.openei.org/apps/USURDB/rate/view/55ba6c605457a3b94c995e96,Residential,"The three on-peak periods available are: 
7:00 a.m. to 7:00 p.m.; 
8:00 a.m. to 8:00 p.m.; 
9:00 a.m. to 9:00 p.m.",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=6290,,,,,,Single Phase
41,"Town of Farmville, North Carolina (Utility Company)",6209,Residential,539f6a34ec4f024411ec8ce9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8ce9,Residential,,Rates Binder A,,,,,,Single Phase
42,"City of Pella, Iowa (Utility Company)",14645,Rural Residents and Farm,539f6a34ec4f024411ec8ced,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8ced,Residential,,http://www.amlegal.com/nxt/gateway.dll/Iowa/pella_ia/codeofordinancesofthecityofpellaiowa2011?f=templates$fn=default.htm$3.0$vid=amlegal:pella_ia,,,,,,Single and 3-Phase
43,"Osceola Electric Coop, Inc",14202,Farm and Residential Service Single Phase,55dcbbdd5457a31463687725,,kW,,http://en.openei.org/apps/USURDB/rate/view/55dcbbdd5457a31463687725,Residential,"Additional Information: 
* Minimum monthly charge is the greater of the facility charge or $1.00 per KVA of installed transformer capacity.",http://www.osceolaelectric.com/Member_Services/Rates/index.html,,,,,,
45,"City of Fayetteville, Tennessee (Utility Company)",6234,Residential Rates,539f6a45ec4f024411ec8d05,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a45ec4f024411ec8d05,Residential,,http://www.fpunet.com/node/15,,,,,,
46,Upper Peninsula Power Co,19578,Residential Service A-1,559a9e785457a35027271883,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/559a9e785457a35027271883,Residential,,http://www.uppco.com/company/tariffs/UD2D4.pdf,,,,,,Single Phase
47,"City of Chewelah, Washington (Utility Company)",3459,Residential Rate,5578a5895457a396438ba375,,kW,,http://en.openei.org/apps/USURDB/rate/view/5578a5895457a396438ba375,Residential,Electric Utility Tax = 6% of gross charge.,http://www.cityofchewelah.org/wp-content/uploads/2014/10/Residential-Utility-Rates-Dec-2014.pdf,,,,,,
51,Trenton Municipal Utilities,19150,Residential General Electric Service,539f6a46ec4f024411ec8d6b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb972ec4f024bc1dc22cf,Residential,,http://media.wix.com/ugd/39a375_4044a52b9e2b086e4cb7581e8ffc067b.pdf,,,,,,
55,"Northern Electric Coop, Inc",13750,RATE R201 (Single Phase- Residential),539f6a46ec4f024411ec8d99,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a46ec4f024411ec8d99,Residential,Consumers can qualify for Rate R001 by converting to electric heat.,"Rate Binder 5, Illinois State University",,,,,,Single Phase
59,Bear Valley Electric Service,17612,D Domestic Service Single Family Accomodation,539f6a46ec4f024411ec8db1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a46ec4f024411ec8db1,Residential,"DOMESTIC SERVICE - SINGLE FAMILY ACCOMMODATION
APPLICABILITY
Applicable only to permanent residents of Bear Valley for separately metered residential
single-phase service to a single-family accommodation and to individuals living in a
multi-unit complex, where such units are separately metered by BVES.
TERRITORY
Big Bear Lake and vicinity, San Bernardino County.",http://www.aswater.com/Organization/Rates_and_Regulations/Bear_Valley_Electric/SchD.pdf,,,,,,
61,"Tri-County Electric Coop, Inc (Texas)",19159,Residential Single Phase,539f6a54ec4f024411ec8ddd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a54ec4f024411ec8ddd,Residential,This rate is applicable to the Power Cost Recovery Factor adjustments.,"Rate Binder 5, Illinois State University",,,,,,
67,"Village of Republic, Ohio (Utility Company)",15865,Residential,539f6a55ec4f024411ec8e35,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a55ec4f024411ec8e35,Residential,A minimum charge of $3.5 per month is applied to this rate,ISU Documentation Rate Binder Ted #9,,,,,,
69,"Village of Sauk City, Wisconsin (Utility Company)",16680,Rg-1 Residential Service,539f6a55ec4f024411ec8e3d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a55ec4f024411ec8e3d,Residential,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=5260,,,,,,Single and 3-Phase
73,"Southern Iowa Elec Coop, Inc",17643,Residentail Rate,539f6a55ec4f024411ec8e57,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f712aec4f024411ece2eb,Residential,,http://www.sie.coop/content/rates-service-charges,,,,,,
76,"City of Eagle River, Wisconsin (Utility Company)",5551,Rg-2 Residential Service Three Phase -  Optional Time-of-Day 9am-9pm,539f6a56ec4f024411ec8e83,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a56ec4f024411ec8e83,Residential,Commitment to Community Program Rider - Rg-2 Residential Service Optional TOD 3.0% of the total electric bill not to exceed $1.48,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=1710,,,,,,3-Phase
78,"City of La Grange, Georgia (Utility Company)",10585,RESIDENTIAL,539f6a62ec4f024411ec8e8f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a62ec4f024411ec8e8f,Residential,,https://harris.lagrange-ga.org/utilitydocuments/Electric%20Residential.pdf,,,,,Secondary,Single Phase
79,"City of Calhoun, Georgia (Utility Company)",2812,Residential Service,539f6a62ec4f024411ec8e95,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a62ec4f024411ec8e95,Residential,"Flat Rate Buy= Transmission charge+ Generation Charge+Energy charge

Subject to power cost recovery and Revenue adjustment.",Rate Binder # 2,,,,,,
82,"City of Meadville, Missouri (Utility Company)",12292,Electric Rate,539f6a63ec4f024411ec8ec7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ec7,Residential,,http://www.meadvillemo.com/services_utilities.htm#electric,,,,,,
83,Midwest Energy Cooperative,12377,Residential Time-of-Use,539f6a63ec4f024411ec8ecd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ecd,Residential,,http://www.dleg.state.mi.us/mpsc/electric/ratebooks/midwest/midwest2cur.pdf,,,,,Secondary,Single Phase
88,"Central New Mexico El Coop, Inc",3273,Time of Use Residential Service (Rate 25),539f6a63ec4f024411ec8eed,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8eed,Residential,Any residential consumers wishing to abide by the on peak off peak hours are eligible.,http://cnmec.org/index.php?page=electric-rates,,,,,,
89,Ozark Electric Coop Inc,14288,Residential Single Phase (Planned Subdivision),539f6a63ec4f024411ec8ef3,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ef3,Residential,,http://www.ozarkelectric.com/rateSchedule.html,,,,,,
90,"Tri-County Electric Coop, Inc (Oklahoma)",19160,Residential Single-Phase SPS,539f6a63ec4f024411ec8f0f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8f0f,Residential,"These rates are available exclusively for residences regardless of required transformer capacity. The capacity of individual motors under this schedule shall not exceed ten (10) horsepower without prior Cooperative approval. 

Subject to: Billing Adjustments Power Cost Adjustment (PCA-1), Carbon Tax Adjustment, and Tax Adjustment",http://tcec.coopwebbuilder.com/sites/tri-countyelectric.coopwebbuilder.com/files/br_rules_regulations.pdf,,,,,,
91,"Platte-Clay Electric Coop, Inc",15138,R-ETS - Residential ETS Service,539f6a63ec4f024411ec8f11,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8f11,Residential,,Rate Binder Kelly 11 ISU Documentation,,,,,,
93,"Central Texas Elec Coop, Inc",3282,General Service,539f6a64ec4f024411ec8f35,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6d9dec4f024411ecb7ff,Residential,"*The General Service Rate Schedule applies to all electric service to permanent installations used primarily for residential purposes. It applies to electric service to a private dwelling and its appurtenances, the major use of which is for lighting, air conditioning, heating and household appliances. Except as otherwise provided, when a majority of the electricity consumed in a dwelling is regularly used in connection with the conduct of a business, the service shall be classified as Commercial or Large Power and billed under the appropriate rate.
*In addition to the rates and charges described above, members will be billed a Power Cost Pass-Through for all kWh consumed.",http://www.ctec.coop/content/rates,,,,,,
94,Macon Electric Coop,11463,Single-Phase Service,539f6a64ec4f024411ec8f37,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a64ec4f024411ec8f37,Residential,*typical for most residential and agriculture applications,http://www.maconelectric.com/rates.php,,,,,,
96,"City of Holton, Kansas (Utility Company)",8770,Residential Rate - Outside City Limits,539f6a64ec4f024411ec8f3d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a64ec4f024411ec8f3d,Residential,,Ted Binder 2,,,,,,
97,"City of Julesburg, Colorado (Utility Company)",9928,Rate 17: Residential,539f6a64ec4f024411ec8f3f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a64ec4f024411ec8f3f,Residential,,Rates Binder B,,,,,,
98,French Broad Elec Member Corp (Tennessee),6784,Primary Residential Customer,539f6a64ec4f024411ec8f45,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a64ec4f024411ec8f45,Residential,,http://www.frenchbroademc.com/rateschedule.cfm,,,,,Primary,Single Phase
99,"Town of Concord, Massachusetts (Utility Company)",4147,RATE R-1 RESIDENTIAL TIME OF USE RATE (SINGLE PHASE),539f6a70ec4f024411ec8f53,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a70ec4f024411ec8f53,Residential,"Applicability: This rate schedule is applicable to all electric service required by the Customer exclusively for domestic purposes for individual (single family) private residences and individually metered apartment units.
The following tiered time of day rates apply:
 On-peak
 First 620 kWhs:$0.3205 per kWh
 Next 350 kWhs: $0.3580
 All in excess of 970 kWhs: $0.3955
 Off-peak :$0.0550 per kWh
The given rate per kWh will be adjusted plus or minus in accordance with the formulae specified in the Purchased Power Cost Adjustment Clause and the NYPA Power Cost Adjustment Clause.","http://www.concordma.gov/pages/concordma_lightplant/new%20rate%20files/A03%20Rate%20R-1,%20TOUR%201-1-13.pdf",,,,,,Single Phase
100,"City of Waterville, Kansas (Utility Company)",20189,Residential,539f6a70ec4f024411ec8f59,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc46eec4f024c27d8c705,Residential,,http://www.cityofwatervilleks.org/NewsInformation/UtilityRates.aspx,,,,,,
101,"Copper Valley Elec Assn, Inc",4329,Valdez Residential,539f6a70ec4f024411ec8f5b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a70ec4f024411ec8f5b,Residential,,http://www.cvea.org/resources/pdfs/currentRates.pdf,,,,,,
102,Alaska Power and Telephone Co,219,Schedule No. A-1 Residential (Chistochina/Mentasta/Slana),539f6a71ec4f024411ec8f6f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a71ec4f024411ec8f6f,Residential,,http://www.aptalaska.com/upload/pdf/apc.tariff.021114.pdf,,,,,,Single and 3-Phase
104,"City of Sheboygan Falls, Wisconsin (Utility Company)",17028,Residential,539f6a71ec4f024411ec8f7b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a71ec4f024411ec8f7b,Residential,PCAC: Power Cost Adjustment Clause will apply to all metered rates.,http://www.cityofsheboyganfalls.com/utilities.php,,,,,,
105,"City of Marshfield, Wisconsin (Utility Company)",11740,Rg-2 Residential Service Optional Time-of-Day Three Phase,539f6a71ec4f024411ec8f89,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a71ec4f024411ec8f89,Residential,*Commitment to Community Rider: $0.00126 per kWh,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=3420,,,,,,3-Phase
111,"Village of Pioneer, Ohio (Utility Company)",15072,Residential- In,539f6a71ec4f024411ec8fc5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a71ec4f024411ec8fc5,Residential,,ISU Documentation Rate Binder Ted #9,,,,,,
113,"City of Bennettsville, South Carolina (Utility Company)",1566,Residential Rate,539f6a72ec4f024411ec8fd7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a72ec4f024411ec8fd7,Residential,Subject to Purchase Cost Adjustment,ISU Documentation Rate Binder Ted #12,,,,,,
115,Roosevelt Public Power Dist,16164,Net Metering,539f6a72ec4f024411ec8fdb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a72ec4f024411ec8fdb,Residential,,http://rooseveltppd.com/sites/rooseveltppd.coopwebbuilder.com/files/2014_rates_0.pdf,,,,,,
118,Heartland Power Coop (Minnesota),8319,Three - Phase - Residential and Farm (Rate B),539f6a72ec4f024411ec9001,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a72ec4f024411ec9001,Residential,"Applicable for three-phase service at available voltages through a single meter to a member using the cooperative's standard service as described in Section 4 of this tariff with required transformer capacity of 100 kVA or less; all subject to the terms of the service contract and membership application approved by the Board of Directors. Service hereunder is subject to the provisions of the Cooperative's Electric Service Standards.

*Power Purchase Adjustment may apply.",http://www.heartlandpower.com/content/electrical-rates,,,,,,
119,Clarke Electric Coop Inc,3722,Urban Single Phase,539f6a72ec4f024411ec900d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a72ec4f024411ec900d,Residential,"Available to all consumers for single-phase non commercial service within an incorporated City or Village where 75kva or less of transformer capacity is required. Service is subject to the rules and regulations of the cooperative. This rate will not apply to any service outside city limits./

$6.50 is added to fixed monthly if less than 250 kWh is consumed.","http://www.cecnet.net/content/rates 
and 
ISU documentation",,,,,,Single Phase
121,"Town of La Grange, North Carolina (Utility Company)",10586,In-Town Residential,539f6a7fec4f024411ec9029,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a7fec4f024411ec9029,Residential,,Illinois State University Archives,,,,,,
124,"City of New Madrid, Missouri (Utility Company)",13470,Residential,539f6a7fec4f024411ec9039,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a7fec4f024411ec9039,Residential,,http://library.municode.com/index.aspx?clientId=14677,,,,,,
125,Claverack Rural Elec Coop Inc,40289,Residential Service,539f6a7fec4f024411ec9043,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a7fec4f024411ec9043,Residential,,http://www.claverack.com/content/rates,,,,,,
126,Massachusetts Electric Co,11804,R-1 Residential,5775506c5457a3bf7bff4c80,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5775506c5457a3bf7bff4c80,Residential,Electric delivery service under this rate is available for all domestic purposes in an individual private dwelling or an individual apartment and for church and farm purposes.,"http://www.nationalgridus.com/masselectric/home/rates/4_res.asp
https://www9.nationalgridus.com/non_html/meco.pdf

http://www.nationalgridus.com/masselectric/non_html/MA_Residential_Table.pdf",,,,,,
127,Eastern Maine Electric Coop,5609,Residential,539f6a7fec4f024411ec904d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a7fec4f024411ec904d,Residential,,http://www.emec.com/content/residential,,,,,,
130,Greenwood Utilities Comm,7651,Residential - Single Phase,539f6a7fec4f024411ec9065,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb8adec4f024bc1dc19c7,Residential,,www.greenwoodutilities.com/images/admin/spotedit/attach/0/Greenwood_Residential_Rate_October_2013.pdf,,,,,,Single Phase
131,"City of Georgetown, Texas (Utility Company)",7129,Residential,539f6a80ec4f024411ec9087,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a80ec4f024411ec9087,Residential,*The Power Cost Adjustment is shown in the Flat rate adjustment field.,http://billing.georgetown.org/rates/,,,,,,
133,"City of Bay City, Michigan (Utility Company)",1366,Residential Service,539f6a80ec4f024411ec90c1,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a80ec4f024411ec90c1,Residential,,http://www.baycitymi.org/images/Department/electric/Proposed_2014_Electric_Service_Rate_Schedule.pdf,,,,,Secondary,Single Phase
135,"Village of Oxford, Nebraska (Utility Company)",14277,Residential,539f6a8eec4f024411ec90f9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbf7eec4f024c27d89243,Residential,"*Principle supplier of electricity to Oxford is
NPPD, Nebraska Public Power District.
*Electricity is also supplied by TVPPD.",ISU documentation,,,,,,
136,"City of Fremont, Nebraska (Utility Company)",6779,Suburban Rate,539f6a8eec4f024411ec90fb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/53bb080eec4f0220e1a66995,Residential,Minimum Monthly Bill: $13.00 per month,http://www.fremontne.gov/DocumentCenter/View/2443,,,,,,
137,"City of Osage, Iowa (Utility Company)",14201,Rural Residential,539f6a8eec4f024411ec9119,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a8eec4f024411ec9119,Residential,"Rural Service is available to all single family dwellings or individually metered apartments for all domestic use outside the Osage city limits.

Penalty for delayed payment: 1.5% per month",http://osage.net/electric/rural/,,,,,,
139,"City of Monroe, North Carolina (Utility Company)",12801,Residential Time-of-Use,539f6a8eec4f024411ec9123,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a8eec4f024411ec9123,Residential,,http://www.monroenc.org/uploads/FeesSchedule.pdf#Electric,,,,,,Single Phase
141,"City of Tulia, Texas (Utility Company)",19264,Residential Service,539f6a8fec4f024411ec9169,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a8fec4f024411ec9169,Residential,To single family residential customers for all domestic usage where energy is taken through a single meter.,ISU Documentation Rate Binder Ted #12,,,,,,
142,"Town of Paoli, Indiana (Utility Company)",14435,Residential: Electric Cooking Range(Separate Meter),539f6a8fec4f024411ec916b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a8fec4f024411ec916b,Residential,"""Electric Cooking Range with maximum load of 3000 watt hours or less Last 200 KWH used in excess of 150 KWH $.0349""


This rate is subject to an Adjustment that is calculated every three months.

""The Rate Adjustment shall be on the basis of a Purchased Power Cost Adjustment Tracking Factor occasioned solely by changes in the cost of purchased power and energy, in accordance with the order of the Indiana Utility Regulatory Commission.""","Rates Binder 1, Illinois State University",,,,,,
143,"Village of Westfield, New York (Utility Company)",20480,Residential,539f6a8fec4f024411ec9199,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a8fec4f024411ec9199,Residential,ISU Documentation,,,,,,,
146,Mohawk Municipal Comm,12759,Single-Phase Residential,539f6a9dec4f024411ec91a9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a9dec4f024411ec91a9,Residential,,http://mohawkmunicipalcommission.org/index_files/Mohawk%20Municipal%20Commission%20Electric%20Rates.pdf,,,,,,
150,Menard Electric Coop,12395,Residential - East Bluffs Subdivision (Rate Code 13),539f6a9dec4f024411ec91d3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a9dec4f024411ec91d3,Residential,Applicable to Residential Lot 2 through Lot 22 of the East Bluffs Subdivision subject to the established Rules and Regulations of the Cooperative.,http://menard.coopwebbuilder.com/sites/menard.coopwebbuilder.com/files/rc13_eastbluffsub2.pdf,,,,,Secondary,Single Phase
153,"Jemez Mountains Elec Coop, Inc",9699,Residential Service,539f6a9eec4f024411ec91f5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a9eec4f024411ec91f5,Residential,,http://www.jemezcoop.org/energy/Rate1GeneralService(Residential).pdf,,,,,Secondary,Single and 3-Phase
158,"Glades Electric Coop, Inc",7264,Schedule R- Residential,539f6a9eec4f024411ec9237,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a9eec4f024411ec9237,Residential,Applicable to all residential dwellings whose primary function is to house individuals or families.,ISU Documentation,,,,,,
