year,state,fuel,rate_dollar_per_mmbtu
2024,MI,natural gas,10.21
2024,MI,propane,23.05
2024,MI,wood,10.56
2024,MN,fuel oil,26.1
2024,MN,electricity,45.28
2024,MN,natural gas,10.03
2024,MN,propane,19.91
2024,MN,wood,10.56
2024,MO,fuel oil,23.61
2024,MO,electricity,37.84
2024,MO,natural gas,16.49
2024,MO,propane,21.3
2024,MO,wood,10.56
2024,MS,fuel oil,20.38
2024,MS,electricity,39.26
2024,MS,natural gas,15.03
2024,MS,propane,29.42
2024,MS,wood,10.46
2024,MT,fuel oil,22.02
2024,MT,electricity,37.11
2024,MT,natural gas,7.77
2024,MT,propane,22.28
2024,MT,wood,14.07
2024,NC,fuel oil,23.28
2024,NC,electricity,41.42
2024,NC,natural gas,15.82
2024,NC,propane,35.57
2024,NC,wood,10.46
2024,ND,fuel oil,23.79
2024,ND,electricity,33.73
2024,ND,natural gas,8.44
2024,ND,propane,17.33
2024,ND,wood,10.56
2024,NE,fuel oil,21.89
2024,NE,electricity,33.79
2024,NE,natural gas,10.06
2024,NE,propane,17.8
2024,NE,wood,10.56
2024,NH,fuel oil,24.23
2024,NH,electricity,68.59
2024,NH,natural gas,18.09
2024,NH,propane,33.0
2024,NH,wood,8.38
2024,NJ,fuel oil,24.99
2024,NJ,electricity,56.69
2024,NJ,natural gas,12.72
2024,NJ,propane,34.8
2024,NJ,wood,8.38
2024,NM,fuel oil,19.98
2024,NM,electricity,41.61
2024,NM,natural gas,8.83
2024,NM,propane,27.3
2024,NM,wood,14.07
2024,NV,fuel oil,26.18
2024,NV,electricity,43.95
2024,NV,natural gas,17.91
2024,NV,propane,31.51
2024,NV,wood,14.07
2024,NY,fuel oil,23.11
2024,NY,electricity,71.6
2024,NY,natural gas,16.03
2024,NY,propane,34.35
2024,NY,wood,8.38
2024,OH,fuel oil,24.71
2024,OH,electricity,46.85
2024,OH,natural gas,12.89
2024,OH,propane,27.54
2024,OH,wood,10.56
2024,OK,fuel oil,23.68
2024,OK,electricity,35.86
2024,OK,natural gas,13.54
2024,OK,propane,20.89
2024,OK,wood,10.46
2024,OR,fuel oil,24.51
2024,OR,electricity,43.08
2024,OR,natural gas,14.6
2024,OR,propane,28.74
2024,OR,wood,14.07
2024,PA,fuel oil,25.15
2024,PA,electricity,52.07
2024,PA,natural gas,13.12
2024,PA,propane,28.79
2024,PA,wood,8.38
2024,RI,fuel oil,22.61
2024,RI,electricity,83.97
2024,RI,natural gas,21.08
2024,RI,propane,38.79
2024,RI,wood,8.38
2024,SC,fuel oil,24.54
2024,SC,electricity,41.71
2024,SC,natural gas,16.37
2024,SC,propane,36.97
2024,SC,wood,10.46
2024,SD,fuel oil,23.61
2024,SD,electricity,37.69
2024,SD,natural gas,8.57
2024,SD,propane,19.41
2024,SD,wood,10.56
2024,TN,fuel oil,24.24
2024,TN,electricity,36.41
2024,TN,natural gas,10.32
2024,TN,propane,25.75
2024,TN,wood,10.46
2024,TX,fuel oil,20.24
2024,TX,electricity,43.78
2024,TX,natural gas,17.64
2024,TX,propane,28.63
2024,TX,wood,10.46
2024,US,fuel oil,23.75
2024,US,electricity,48.3
2024,US,natural gas,13.88
2024,US,propane,27.08
2024,US,wood,10.45
2024,UT,fuel oil,23.36
2024,UT,electricity,35.8
2024,UT,natural gas,12.55
2024,UT,propane,25.36
2024,UT,wood,14.07
2024,VA,fuel oil,25.19
2024,VA,electricity,42.23
2024,VA,natural gas,14.64
2024,VA,propane,36.01
2024,VA,wood,10.46
2024,VT,fuel oil,26.53
2024,VT,electricity,64.2
2024,VT,natural gas,16.61
2024,VT,propane,33.0
2024,VT,wood,8.38
2024,WA,fuel oil,26.1
2024,WA,electricity,34.87
2024,WA,natural gas,11.65
2024,WA,propane,26.3
2024,WA,wood,14.07
2024,WI,fuel oil,22.37
2024,WI,electricity,50.37
2024,WI,natural gas,9.65
2024,WI,propane,18.91
2024,WI,wood,10.56
2024,WV,fuel oil,24.54
2024,WV,electricity,44.18
2024,WV,natural gas,14.15
2024,WV,propane,36.34
2024,WV,wood,10.46
2024,WY,fuel oil,22.9
2024,WY,electricity,36.54
2024,WY,natural gas,11.7
2024,WY,propane,24.69
2024,WY,wood,14.07
